series,model_category,selection_status,number_of_months,annualized_return,annualized_volatility,annualized_sharpe,annualized_sortino,maximum_drawdown,historical_cvar_95,average_turnover,annualized_active_return,annualized_tracking_error,information_ratio,positive_month_rate,terminal_wealth
CRSP S&P 500 Value Weighted,Official Benchmark,Benchmark,132.0,0.13671015512668627,0.14984175428670357,0.8082612369755988,1.2727098078746815,-0.23670511272957306,0.08909685714285716,,0.025131727272727267,0.05455298358569057,0.4606847439104944,0.7045454545454546,4.093993407336331
Quality Robustness Winner (Top 10% Inverse Volatility),Traditional Factor,Ex-Post Sensitivity Winner,132.0,0.12854090602360757,0.1541814349648744,0.7400229436365724,1.2202787263328156,-0.19654849264311536,0.08782914803023319,0.0785343979740622,0.018391294986084883,0.0487365151143684,0.3773617162188685,0.6363636363636364,3.7817286212988592
Quality Baseline (Top 20% Equal Weight),Traditional Factor,Pre-Specified,132.0,0.12505783899218637,0.16673668487775195,0.677941598118499,1.0824459882604784,-0.25204046917660716,0.09991605231324772,0.07573725842914932,0.017337381052155175,0.03284442785162912,0.5278636951897832,0.6439393939393939,3.6553027243641285
CRSP S&P 500 Equal Weighted,Official Benchmark,Benchmark,132.0,0.10604365283292205,0.16518564305589972,0.5796130760474051,0.8867428443895718,-0.27468708449585033,0.10067657142857142,,0.0,0.0,,0.6515151515151515,3.030365034558577
Ridge ML (Top 20% Equal Weight),Machine Learning,Pre-Specified,132.0,0.0983774664302437,0.15050336416368187,0.5738553506426257,0.8787139044227855,-0.23463036003790627,0.09037733109681971,0.12589410112788615,-0.009360942317770456,0.04370121172283881,-0.21420326688283356,0.6666666666666666,2.8071638397077816
Six-Factor Baseline (Top 20% Equal Weight),Traditional Factor,Pre-Specified,132.0,0.09408668302389667,0.15701108000490813,0.5318599217485245,0.7976324603156375,-0.29604867209461083,0.0984254380915843,0.19550201167390366,-0.012204957005128993,0.04477566803272474,-0.2725801208863904,0.6212121212121212,2.6888653288897455
XGBoost ML (Top 20% Equal Weight),Machine Learning,Pre-Specified,132.0,0.08631647777883278,0.18920969738241905,0.4322783348195003,0.6673856545892365,-0.30982577617384666,0.11149799514781862,0.29901591209756284,-0.013974017932498216,0.04341664034714059,-0.32185857359685227,0.5984848484848485,2.4861082740766465
